"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
"R3","1","L1","18.08","126.53","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","126.53","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","79.66","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","173.40","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","32.79","180.00","0.00","100","None","True","0805 "
"R3","1","L1","18.08","79.66","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","32.79","180.00","0.00","100","None","True","0805 "
"R3","1","L1","116.98","173.40","180.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","29.21","180.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","122.95","180.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","169.82","180.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","76.08","180.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","169.82","180.00","0.00","100","None","True","0805 "
"R30","1","L1","92.39","29.21","180.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","122.95","180.00","0.00","100","None","True","0805 "
"R30","1","L1","191.29","76.08","180.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","145.54","180.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","98.67","180.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","51.80","180.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","145.54","180.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","98.67","180.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","51.80","180.00","0.00","100","None","True","0805 "
"R32","1","L1","82.05","4.93","180.00","0.00","100","None","True","0805 "
"R32","1","L1","180.95","4.93","180.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","99.28","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","99.28","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","52.41","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","146.15","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","146.15","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","52.41","90.00","0.00","100","None","True","0805 "
"R33","1","L1","90.81","5.54","90.00","0.00","100","None","True","0805 "
"R33","1","L1","189.71","5.54","90.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","53.77","90.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","53.77","90.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","100.64","90.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","147.51","90.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","100.64","90.00","0.00","100","None","True","0805 "
"R36","1","L1","9.09","6.90","90.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","6.90","90.00","0.00","100","None","True","0805 "
"R36","1","L1","107.99","147.51","90.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","96.61","180.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","49.74","180.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","143.48","180.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","96.61","180.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","2.87","180.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","2.87","180.00","0.00","100","None","True","0805 "
"R37","1","L1","8.95","49.74","180.00","0.00","100","None","True","0805 "
"R37","1","L1","107.85","143.48","180.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","174.66","90.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","127.79","90.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","80.92","90.00","0.00","100","None","True","0805 "
"R38","1","L1","86.46","34.05","90.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","34.05","90.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","80.92","90.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","127.79","90.00","0.00","100","None","True","0805 "
"R38","1","L1","185.36","174.66","90.00","0.00","100","None","True","0805 "
"R39","1","L1","180.90","147.60","180.00","0.00","100","None","True","0805 "
"R39","1","L1","180.90","53.86","180.00","0.00","100","None","True","0805 "
"R39","1","L1","82.00","6.99","180.00","0.00","100","None","True","0805 "
"R39","1","L1","82.00","53.86","180.00","0.00","100","None","True","0805 "
"R39","1","L1","82.00","147.60","180.00","0.00","100","None","True","0805 "
"R39","1","L1","82.00","100.73","180.00","0.00","100","None","True","0805 "
"R39","1","L1","180.90","100.73","180.00","0.00","100","None","True","0805 "
"R39","1","L1","180.90","6.99","180.00","0.00","100","None","True","0805 "
"R4","1","L1","77.07","111.34","180.00","0.00","100","None","True","0805 "
"R4","1","L1","77.07","158.21","180.00","0.00","100","None","True","0805 "
"R4","1","L1","175.97","111.34","180.00","0.00","100","None","True","0805 "
"R4","1","L1","175.97","17.60","180.00","0.00","100","None","True","0805 "
"R4","1","L1","175.97","158.21","180.00","0.00","100","None","True","0805 "
"R4","1","L1","77.07","17.60","180.00","0.00","100","None","True","0805 "
"R4","1","L1","77.07","64.47","180.00","0.00","100","None","True","0805 "
"R4","1","L1","175.97","64.47","180.00","0.00","100","None","True","0805 "
"R5","1","L1","81.65","122.75","180.00","0.00","100","None","True","0805 "
"R5","1","L1","81.65","75.88","180.00","0.00","100","None","True","0805 "
"R5","1","L1","180.55","29.01","180.00","0.00","100","None","True","0805 "
"R5","1","L1","81.65","169.62","180.00","0.00","100","None","True","0805 "
"R5","1","L1","180.55","75.88","180.00","0.00","100","None","True","0805 "
"R5","1","L1","180.55","169.62","180.00","0.00","100","None","True","0805 "
"R5","1","L1","81.65","29.01","180.00","0.00","100","None","True","0805 "
"R5","1","L1","180.55","122.75","180.00","0.00","100","None","True","0805 "
"R51","1","L1","79.47","106.44","180.00","0.00","100","None","True","0805 "
"R51","1","L1","79.47","59.57","180.00","0.00","100","None","True","0805 "
"R51","1","L1","178.37","106.44","180.00","0.00","100","None","True","0805 "
"R51","1","L1","178.37","12.70","180.00","0.00","100","None","True","0805 "
"R51","1","L1","178.37","59.57","180.00","0.00","100","None","True","0805 "
"R51","1","L1","79.47","153.31","180.00","0.00","100","None","True","0805 "
"R51","1","L1","79.47","12.70","180.00","0.00","100","None","True","0805 "
"R51","1","L1","178.37","153.31","180.00","0.00","100","None","True","0805 "
"R52","1","L1","4.26","48.67","180.00","0.00","100","None","True","0805 "
"R52","1","L1","4.26","1.80","180.00","0.00","100","None","True","0805 "
"R52","1","L1","4.26","142.41","180.00","0.00","100","None","True","0805 "
"R52","1","L1","4.26","95.54","180.00","0.00","100","None","True","0805 "
"R52","1","L1","103.16","48.67","180.00","0.00","100","None","True","0805 "
"R52","1","L1","103.16","95.54","180.00","0.00","100","None","True","0805 "
"R52","1","L1","103.16","142.41","180.00","0.00","100","None","True","0805 "
"R52","1","L1","103.16","1.80","180.00","0.00","100","None","True","0805 "
"R55","1","L1","112.35","142.41","180.00","0.00","100","None","True","0805 "
"R55","1","L1","13.45","48.67","180.00","0.00","100","None","True","0805 "
"R55","1","L1","13.45","1.80","180.00","0.00","100","None","True","0805 "
"R55","1","L1","112.35","95.54","180.00","0.00","100","None","True","0805 "
"R55","1","L1","112.35","48.67","180.00","0.00","100","None","True","0805 "
"R55","1","L1","13.45","142.41","180.00","0.00","100","None","True","0805 "
"R55","1","L1","112.35","1.80","180.00","0.00","100","None","True","0805 "
"R55","1","L1","13.45","95.54","180.00","0.00","100","None","True","0805 "
"R6","1","L1","174.17","109.74","180.00","0.00","100","None","True","0805 "
"R6","1","L1","75.27","156.61","180.00","0.00","100","None","True","0805 "
"R6","1","L1","75.27","16.00","180.00","0.00","100","None","True","0805 "
"R6","1","L1","75.27","109.74","180.00","0.00","100","None","True","0805 "
"R6","1","L1","75.27","62.87","180.00","0.00","100","None","True","0805 "
"R6","1","L1","174.17","156.61","180.00","0.00","100","None","True","0805 "
"R6","1","L1","174.17","16.00","180.00","0.00","100","None","True","0805 "
"R6","1","L1","174.17","62.87","180.00","0.00","100","None","True","0805 "

Puzzle
7.02
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

3.45
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

Other
1.60

True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False

False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False

Mark
2
0
False
6
